id_oferta|id_tipo
11627|153
11745|153
11195|153
11702|153
11744|153
11210|153
11463|153
11682|153
11382|153
11627|154
11745|154
11129|154
11127|154
11707|154
11209|154
11345|154
11474|154
11682|154
11443|154
11484|154
11195|155
11616|155
11667|155
11539|155
11504|155
11627|156
11711|156
11707|156
11210|156
11249|156
11663|157
11699|157
11129|157
11127|157
11504|157
11642|160
11293|160
11262|160
11484|160
11374|160
11746|163
11073|163
11345|163
11401|163
11398|165
11073|165
11627|166
11667|166
11681|166
11375|167
